Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test),Params
LinearRegression,-,-,22,211995.46950444157,0.7008607524020419,0.7027182400021386,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,-,19,212084.9728145468,0.7007680617048477,0.7024671655954271,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,RobustScaler(),19,212084.9728145483,0.7007680617048476,0.7024671655954231,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,MinMaxScaler(),19,212084.9728145483,0.7007680617048476,0.7024671655954231,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,StandardScaler(),19,212084.97281454827,0.7007680617048476,0.7024671655954231,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,-,16,212147.39373062016,0.7005257720836681,0.7022919999065298,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,RobustScaler(),16,212147.39373062103,0.7005257720836683,0.7022919999065275,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,StandardScaler(),16,212147.393730621,0.7005257720836683,0.7022919999065275,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,MinMaxScaler(),16,212147.393730621,0.7005257720836682,0.7022919999065275,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,StandardScaler(),19,212217.61115117947,0.7004051347027477,0.7020948940456231,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,RobustScaler(),19,212217.6111511795,0.7004051347027477,0.702094894045623,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,MinMaxScaler(),19,212217.61115117956,0.7004051347027476,0.7020948940456229,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,-,19,212217.61115117985,0.7004051347027469,0.7020948940456221,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,-,12,212985.4690139968,0.697985683814093,0.6999351994503058,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,StandardScaler(),12,212985.4690139969,0.6979856838140929,0.6999351994503056,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,MinMaxScaler(),12,212985.4690139969,0.697985683814093,0.6999351994503055,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,RobustScaler(),12,212985.4690139969,0.697985683814093,0.6999351994503055,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,-,16,214861.15145618017,0.6956380193917115,0.6946268131123365,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,StandardScaler(),16,214861.1514561804,0.6956380193917115,0.6946268131123359,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,RobustScaler(),16,214861.1514561804,0.6956380193917115,0.6946268131123359,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,MinMaxScaler(),16,214861.15145618035,0.6956380193917115,0.6946268131123359,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,StandardScaler(),7,217277.006949954,0.6869081859351706,0.6877210977513557,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,MinMaxScaler(),7,217277.00694995397,0.6869081859351706,0.6877210977513557,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,RobustScaler(),7,217277.00694995403,0.6869081859351706,0.6877210977513555,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,-,7,217277.0069499541,0.6869081859351708,0.6877210977513553,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,-,12,225084.9962971115,0.6606201833160985,0.6648739425422127,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,RobustScaler(),12,225139.57205371812,0.6607205535489455,0.6647114086036594,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,MinMaxScaler(),12,225244.67208879665,0.6607580835285602,0.6643982955642798,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,StandardScaler(),12,225408.8128802262,0.6607566721550162,0.6639089965275495,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,-,7,231262.55449190727,0.6368753286322111,0.6462261395177503,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,MinMaxScaler(),7,231262.5544919078,0.6368753286322111,0.6462261395177488,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,RobustScaler(),7,231262.5544919078,0.6368753286322111,0.6462261395177487,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,StandardScaler(),7,231262.5544919078,0.6368753286322111,0.6462261395177487,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,StandardScaler(),19,234863.03640983597,0.6408959541231117,0.6351247156511295,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,RobustScaler(),19,234871.1007882763,0.6409185470722344,0.6350996581287627,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,MinMaxScaler(),19,234871.10078827632,0.6409185470722344,0.6350996581287626,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,-,19,234871.1007882888,0.6409185470722343,0.6350996581287239,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,MinMaxScaler(),16,235773.17855441256,0.6387772103437175,0.6322913040256988,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,RobustScaler(),16,235773.17855441256,0.6387772103437175,0.6322913040256988,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,StandardScaler(),16,235773.17855441256,0.6387772103437175,0.6322913040256987,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,-,16,235773.17855442697,0.6387772103437175,0.6322913040256537,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,MinMaxScaler(),13,244720.08061255512,0.6085627570649652,0.6038548731416848,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,RobustScaler(),13,244720.0806125551,0.6085627570649652,0.6038548731416848,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,-,13,244720.0806125785,0.6085627570649651,0.603854873141609,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,StandardScaler(),13,244803.5806532404,0.6085483957210314,0.6035844925716756,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,-,-,22,211995.46950444154,0.7008607524020419,0.7027182400021386,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,-,19,212084.9728145468,0.7007680617048477,0.7024671655954271,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,RobustScaler(),19,212084.9728145483,0.7007680617048476,0.7024671655954231,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,MinMaxScaler(),19,212084.9728145483,0.7007680617048476,0.7024671655954231,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,StandardScaler(),19,212084.97281454827,0.7007680617048476,0.7024671655954231,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,-,16,212147.39373062018,0.7005257720836681,0.7022919999065298,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,RobustScaler(),16,212147.39373062103,0.7005257720836683,0.7022919999065275,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,StandardScaler(),16,212147.393730621,0.7005257720836683,0.7022919999065275,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,MinMaxScaler(),16,212147.393730621,0.7005257720836682,0.7022919999065275,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,StandardScaler(),19,212217.61115117947,0.7004051347027477,0.7020948940456231,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,RobustScaler(),19,212217.6111511795,0.7004051347027477,0.702094894045623,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,MinMaxScaler(),19,212217.61115117953,0.7004051347027476,0.7020948940456229,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,-,19,212217.61115117982,0.7004051347027469,0.7020948940456221,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,-,12,212985.46901399677,0.697985683814093,0.6999351994503058,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,StandardScaler(),12,212985.46901399686,0.6979856838140929,0.6999351994503056,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,MinMaxScaler(),12,212985.46901399692,0.697985683814093,0.6999351994503055,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,RobustScaler(),12,212985.46901399692,0.697985683814093,0.6999351994503055,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,-,16,214861.15145618017,0.6956380193917115,0.6946268131123365,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,StandardScaler(),16,214861.15145618038,0.6956380193917115,0.6946268131123359,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,RobustScaler(),16,214861.15145618038,0.6956380193917115,0.6946268131123359,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,MinMaxScaler(),16,214861.15145618035,0.6956380193917115,0.6946268131123359,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,StandardScaler(),7,217277.00694995397,0.6869081859351706,0.6877210977513557,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,MinMaxScaler(),7,217277.00694995394,0.6869081859351706,0.6877210977513557,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,RobustScaler(),7,217277.00694995403,0.6869081859351706,0.6877210977513555,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,-,7,217277.00694995414,0.6869081859351708,0.6877210977513553,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,-,12,225084.9962971115,0.6606201833160985,0.6648739425422127,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,RobustScaler(),12,225139.57205371815,0.6607205535489455,0.6647114086036594,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,MinMaxScaler(),12,225244.67208879662,0.6607580835285602,0.6643982955642798,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,StandardScaler(),12,225408.8128802262,0.6607566721550162,0.6639089965275495,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,-,7,231262.55449190727,0.6368753286322111,0.6462261395177503,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,MinMaxScaler(),7,231262.5544919078,0.6368753286322111,0.6462261395177488,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,RobustScaler(),7,231262.5544919078,0.6368753286322111,0.6462261395177487,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,StandardScaler(),7,231262.5544919078,0.6368753286322111,0.6462261395177487,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,StandardScaler(),19,234863.03640983594,0.6408959541231117,0.6351247156511295,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,RobustScaler(),19,234871.1007882763,0.6409185470722344,0.6350996581287627,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,MinMaxScaler(),19,234871.10078827632,0.6409185470722344,0.6350996581287626,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,-,19,234871.10078828878,0.6409185470722343,0.6350996581287239,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,MinMaxScaler(),16,235773.17855441256,0.6387772103437175,0.6322913040256988,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,RobustScaler(),16,235773.17855441256,0.6387772103437175,0.6322913040256988,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,StandardScaler(),16,235773.17855441256,0.6387772103437175,0.6322913040256987,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,-,16,235773.17855442697,0.6387772103437175,0.6322913040256537,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,MinMaxScaler(),13,244720.08061255512,0.6085627570649652,0.6038548731416848,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,RobustScaler(),13,244720.0806125551,0.6085627570649652,0.6038548731416848,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,-,13,244720.0806125785,0.6085627570649651,0.603854873141609,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,StandardScaler(),13,244803.5806532404,0.6085483957210314,0.6035844925716756,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
